Food_Recipes,Food_Ratings,Food_Reviews,Food_Photos,full_links
Barbacoa Tacos,5.0,No,1 Photo,https://www.allrecipes.com/recipe/8497570/barbacoa-tacos/
No,No,No,No,https://www.allrecipes.com/recipes/191/holidays-and-events/4th-of-july/
Angela's Awesome Chicken Enchiladas,4.8,"2,253 Reviews",394 Photos,https://www.allrecipes.com/recipe/83549/angelas-awesome-enchiladas/
Jalapeño Cream Cheese Chicken Enchiladas,4.8,429 Reviews,160 Photos,https://www.allrecipes.com/recipe/218031/jalapeno-cream-cheese-chicken-enchiladas/
Classic Pub Style Nachos,4.5,13 Reviews,10 Photos,https://www.allrecipes.com/recipe/214151/classic-pub-style-nachos/
Pico de Gallo,4.8,431 Reviews,159 Photos,https://www.allrecipes.com/recipe/203800/pico-de-gallo/
No,No,No,No,https://www.allrecipes.com/recipes/192/holidays-and-events/mardi-gras/
No,No,No,No,https://www.allrecipes.com/recipes/187/holidays-and-events/christmas/
No,No,No,No,https://www.allrecipes.com/recipes/189/holidays-and-events/halloween/
No,No,No,No,https://www.allrecipes.com/recipes/1444/holidays-and-events/purim/
No,No,No,No,https://www.allrecipes.com/recipes/1569/everyday-cooking/on-the-go/tailgating/
Watermelon Agua Fresca,4.8,61 Reviews,18 Photos,https://www.allrecipes.com/recipe/214367/watermelon-agua-fresca/
No,No,No,No,https://www.allrecipes.com/entertaining/holiday-planning/
Chef John's Refried Beans,4.8,65 Reviews,27 Photos,https://www.allrecipes.com/recipe/257150/chef-johns-refried-beans/
Nacho Cheese Sauce with Jalapeno,4.2,10 Reviews,4 Photos,https://www.allrecipes.com/recipe/246531/nacho-cheese-sauce-with-jalapeno/
Crispy Flautas,4.6,24 Reviews,11 Photos,https://www.allrecipes.com/recipe/214814/crispy-flautas/
